,id
0,0V3wPSX9ygBnCm8psDIegu
1,3FjK86616FbluOfTxNK2gY
2,6HgWWaMu31KdOpEG5l28BG
3,5enxwA8aAbwZbf5qCHORXi
4,17IBDpAl3J39swaoPlfGpp
5,2YVlDlk2zRceefo6XlC6DX
6,0QligzLNiKkIKW1Ea2MFHt
7,4Dvkj6JhhA12EX05fT7y2e
8,0Mrnt1YqVuW2bqmwu4VxDt
9,4IcbUXrAzBtn6iUO1LP471
10,3hUxzQpSfdDqwM3ZTFQY0K
11,5E4jBLx4P0UBji68bBThSw
12,7dJYggqjKo71KI9sLzqCs8
13,2374M0fQpWi3dLnB54qaLX
14,5SkRLpaGtvYPhw02vZhQQ9
15,1PIgY9ybyFT9uWLM5POYGY
16,4VXIryQMWpIdGgYR4TrjT1
17,7tqhbajSfrz2F7E1Z75ASX
18,0fCwTrRNfoNk962ati8n2K
19,6lanRgr6wXibZr8KgzXxBl
20,3GCdLUSnKSMJhs4Tj6CV3s
21,2m1hi0nfMR9vdGC8UcrnwU
22,2t8yVaLvJ0RenpXUIAC52d
23,57JVGBtBLCfHw2muk5416J
24,1k1Bqnv2R0uJXQN4u6LKYt
25,3U4isOIWM3VvDubwSI3y7a
26,0yc6Gst2xkRu0eMLeRMGCX
27,34sOdxWu9FljH84UXdRwu1
28,2LlOeW5rVcvl3QcPNPcDus
29,722tgOgdIbNe3BEyLnejw4
30,25ypHCQpDX2nrDFly7eZLZ
31,63LsMLW7fSp3aISZuscfgI
32,5lFDtgWsjRJu8fPOAyJIAK
33,0wshkEEcJUQU33RSRBb5dv
34,1cQld05IcUDw3RCFt7uymW
35,10WswZVDTu9dkEzChThMLV
36,2KReCz1L5XkGIBhDncQ5VZ
37,5d2sGAcNwi1AhYM9XqjnGt
38,1p80LdxRV74UKvL8gnD7ky
39,07hQtUvt7MRvezEf0BBXnR
40,0sf12qNH5qcw8qpgymFOqD
41,6SznMYPQJHzr3IwsAHLId2
42,0HqZX76SFLDz2aW8aiqi7G
43,0VjIjW4GlUZAMYd2vXMi3b
44,741UUVE2kuITl0c6zuqqbO
45,3sNVsP50132BTNlImLx70i
46,2rxQMGVafnNaRaXlRMWPde
47,7aEtlGHoiPAfRB084NiDmx
48,69AIpwGNLxr4qS1X5ynx60
49,5jfhLCSIFUO4ndzNRh4w4G
50,017PF4Q3l4DBUiWoXk4OWT
51,3BKD1PwArikchz2Zrlp1qi
52,3JZjcKImHcmOI9ylL4zrSc
53,6AQbmUe0Qwf5PZnt4HmTXv
54,3IX0yuEVvDbnqUwMBB3ouC
55,3yrSvpt2l1xhsV9Em88Pul
56,20OFwXhEXf12DzwXmaV7fj
57,5fEB6ZmVkg63GZg9qO86jh
58,1BxfuPKGuaTgP7aM0Bbdwr
59,5w40ZYhbBMAlHYNDaVJIUu
60,3idS1vTmHLXIdqovJV0YAN
61,7fveJ3pk1eSfxBdVkzdXZ0
62,1l4iQsOZ5sOXZPMQLvouaB
63,5MwynWK9s4hlyKHqhkNn4A
64,3wH4eUkJ1rL5xTU8PZZyOy
65,4Sv1C49gBbZnx7sOmUs4ZP
66,0QHnxQsdunrlmduVLPQCNy
67,0ELaTEJQxHhKzH0zRwy7xD
68,0LQtEJt7x0s6knb6RKdRYc
69,21jGcNKet2qwijlDFuPiPb
70,4IxeKzzxUSEgivgtbSbyIK
71,0GJAh8pOb6YoUcnyrPETnY
72,0Ws8D3EWUDgY962Xftb0h5
73,2dHHgzDwk4BJdRwy9uXhTO
74,1Lo0QY9cvc8sUB2vnIOxDT
75,6w8ZPYdnGajyfPddTWdthN
76,6ClYMObS7f3Nn4AiZHYQt3
77,0WtM2NBVQNNJLh6scP13H8
78,2nibvvDdAQkVraYP00z2RS
