,id
0,1Ov37jtRQ2YNAe8HzfczkL
1,6unndO70DvZfnXYcYQMyQJ
2,03f7xZmt2wHCIDJBFPK8G4
3,1QV6tiMFM6fSOKOGLMHYYg
4,2Bs4jQEGMycglOfWPBqrVG
5,0lUSd7TCG8srh6HpIAEIWL
6,5Q6fh8OEhBYepJaORz9lxe
7,51NFxnQvaosfDDutk0tams
8,5PjdC2gMATetx5xdnwGUu7
9,6uvh0In7u1Xn4HgxOfAn8O
10,2GWCZJWundoYi5IloWIgTX
11,3E7dfMvvCLUddWissuqMwr
12,58ge6dfP91o9oXMzq3XkIS
13,3GYlZ7tbxLOxe6ewMNVTkw
14,1odExI7RdWc4BT515LTAwj
15,1BxfuPKGuaTgP7aM0Bbdwr
16,3hlksXnvbKogFdPbpO9vel
17,0HPD5WQqrq7wPWR7P7Dw1i
18,5CZ40GBx1sQ9agT82CLQCT
19,6GUiIbJ834FcHewby3PwV0
20,5BYl3SodS3rGmafWXRWmB7
21,4Wui4miiL1JR3QqWcbcKwD
22,6PDWMQJ55ZYrGrSx3EZzl4
23,1mw0RgNXIpYRyyCdBQbLgA
24,2tpWsVSb9UEmDRxAl1zhX1
25,7CyPwkp0oE8Ro9Dd5CUDjW
26,0AS63m1wHv9n4VVRizK6Hc
27,4bt7eqP7mfWduRBKEpCAzM
28,2afCBiru10AFckfOa49wIa
29,4svaKoxMMP7ImmKrD5hfQu
30,0yvPEnB032fojLfVluFjUv
31,32BeYxKPrig1LefHsC0Xuo
32,2xql0pid3EUwW38AsywxhV
33,5x5JM1BSB6vollcIzDocqT
34,0XER3HPMx223xWaAgNKp4Y
35,2KtS31kaWNHs12Q5B43Ixh
36,4DpNNXFMMxQEKl7r0ykkWA
37,45S5WTQEGOB1VHr1Q4FuPl
38,7fBv7CLKzipRk6EC6TWHOB
39,4fixebDZAVToLbUCuEloa2
40,7l97ElWmIdVHWUaOeeU5ZC
41,2D2lazsae9o1UoVPUAdxyT
42,4YQEdFq6g95OrdksihaMgZ
43,4sFGNz4MYpGoz53ZGCwsiE
44,4vOoQh9MhS9pyrbvc8LyMz
45,2GiJYvgVaD2HtM8GqD9EgQ
46,3RauEVgRgj1IuWdJ9fDs70
47,6QT6j7rKt7Vk3IuV2AUO9W
48,3pYDZTJM2tVBUhIRifWVzI
49,0zMAvsQmaQ4DGsmXtKixpn
50,75c2zaSdDBSX0A8Jyvm4fO
51,3AjyOYxBv8bByfBtG5o9dP
52,6VzcQuzTNTMFnJ6rBSaLH9
53,3pUa0ZxdSeaJXm0EIydD3F
54,5BI0zQZciyoQfJxsu8CIn9
55,2gyxAWHebV7xPYVxqoi86f
56,6KOEK6SeCEZOQkLj5M1PxH
57,5Odq8ohlgIbQKMZivbWkEo
58,6WC5fhc9XMaCrUNKNjm9xE
59,69HzZ3ti9DLwb0GdWCGYSo
60,2EA3zDCZYf3pKCCaOSP95r
61,4kkeuVl6gF3RMqE4Nn5W3E
62,6CcJMwBtXByIz4zQLzFkKc
63,5VxmI3IdgAxWVvUnJoLuY2
64,7pT6WSg4PCt4mr5ZFyUfsF
65,1LLXZFeAHK9R4xUramtUKw
66,3cysp2UU6xmV61ZlnQsa8s
67,6L2uVVPJA9WcDc7zCZ4DHN
68,0L8LOav65XwLjCLS11gNPD
69,11BKm0j4eYoCPPpCONAVwA
70,5FVd6KXrgO9B3JPmC8OPst
71,6I3mqTwhRpn34SLVafSH7G
72,5wANPM4fQCJwkGd4rN57mH
73,4jbmgIyjGoXjY01XxatOx6
74,68EMU2RD1ECNeOeJ5qAXCV
75,11ozIUBoXAgRTVWelDn4pL
76,7LILABogx8SHeMPJbLBvBH
77,4GRFzKI7jTZ3kbMfouc7bn
78,1daDRI9ahBonbWD8YcxOIB
79,2LBqCSwhJGcFQeTHMVGwy3
80,3avYqdwHKEq8beXbeWCKqJ
81,1oTDLswJ3yehL9bhMH7nbJ
82,6wf7Yu7cxBSPrRlWeSeK0Q
83,1qwno7xb5mJe71xtMS6jl2
84,7ARveOiD31w2Nq0n5FsSf8
85,563SfWAHJs4FBZMkRN0IFN
86,7MXVkk9YMctZqd1Srtv4MB
87,3i058E8uxTsYqJ5NWZzqSj
88,6EtKlIQmGPB9SX8UjDJG5s
89,2xJCMIJfcNYDc5iR0sAm2O
90,0wHFktze2PHC5jDt3B17DC
91,2JJ6XjVqjISFC3F3srBS8T
92,2wAJTrFhCnQyNSD3oUgTZO
93,61S79KIVA4I9FXbnsylEHT
94,4xqIYGwwZTEem9U8A42SPF
