,id,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
0,1R0a2iXumgCiFb7HEZ7gUE,92,False,236413,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,4,['pop']
1,18vXApRmJSgQ6wG2ll9AOg,82,True,165925,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,4,"['chicago rap', 'rap']"
2,3RaCGXCiiMufRPoexXxGkV,89,True,310490,0.483,0.408,5,-9.243,0,0.0502,0.508,0.0,0.259,0.105,88.88,3,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
3,7rRVHNqYBjIjKdNRheCDud,40,False,172936,0.361,0.813,0,-4.426,0,0.193,0.0422,0.0,0.132,0.215,204.064,4,['tassie indie']
4,4sx6NRwL6Ol3V6m9exwGlQ,78,False,146640,0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,4,['australian hip hop']
5,444vevlQjTnKioLLncteGv,76,True,205287,0.445,0.797,11,-5.086,0,0.0434,0.000227,0.0,0.363,0.267,135.483,4,"['dfw rap', 'melodic rap', 'pop', 'rap']"
6,4iya38ctQ1httyA6NOG9oW,70,False,270887,0.374,0.778,5,-4.466,1,0.0363,0.1,0.199,0.107,0.484,133.85,3,"['modern blues rock', 'modern hard rock', 'rock']"
7,4KULAymBBJcPRpk1yO4dOG,94,False,227195,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,4,"['classic oklahoma country', 'modern country pop']"
8,6QvldZZ10eYgKamaWfG52b,51,True,224250,0.576,0.558,2,-6.216,0,0.0342,0.0807,0.0,0.245,0.182,80.005,4,['indie electropop']
9,0KG7XrgM20KEmJrKsyFDAm,59,False,234374,0.584,0.955,7,-4.197,0,0.0507,0.101,0.00243,0.092,0.486,128.04,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']"
10,0GJAh8pOb6YoUcnyrPETnY,37,False,202858,0.734,0.877,9,-3.488,0,0.116,0.00612,0.000977,0.271,0.32,124.917,4,"['aussietronica', 'australian electropop', 'australian indie', 'edm']"
11,67nepsnrcZkowTxMWigSbb,91,True,246133,0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,4,"['hip hop', 'rap', 'slap house']"
12,0PAcdVzhPO4gq1Iym9ESnK,86,False,177387,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,4,['contemporary country']
13,3WMj8moIAXJhHsyLaqIIHI,90,False,228013,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,"['classic oklahoma country', 'modern country pop']"
14,4h9wh7iOZ0GGn8QVp4RAOB,91,False,148485,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,"['piano rock', 'pop']"
15,4B4vB3oB8csotplfoQcAd6,73,True,247002,0.52,0.496,5,-8.121,1,0.0271,0.0234,2.05e-05,0.0905,0.496,138.81,4,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']"
16,0O6u0VJ46W86TxN9wgyqDj,87,True,192840,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,4,"['dfw rap', 'melodic rap', 'pop', 'rap']"
17,0VO8gYVDSwM1Qdd2GsMoYK,83,False,234000,0.553,0.659,8,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146,4,"['edm', 'pop dance', 'progressive electro house']"
18,2KReCz1L5XkGIBhDncQ5VZ,80,False,164682,0.622,0.715,6,-4.04,0,0.0323,0.000982,0.0,0.0796,0.607,131.012,4,"['indie rock italiano', 'italian pop']"
19,5MwynWK9s4hlyKHqhkNn4A,83,False,205453,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,4,['contemporary country']
20,3QzAOrNlsabgbMwlZt7TAY,81,True,180434,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,4,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
21,3o9kpgkIcffx0iSwxhuNI2,77,False,169237,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,4,"['alt z', 'gen z singer-songwriter']"
22,0QNNd0qMCDbraS1nQPg3aA,74,True,142657,0.821,0.636,11,-4.479,1,0.169,0.142,0.0,0.233,0.163,127.961,4,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
23,0g2Bbgy7P41pFjMWJuzsf4,69,True,178176,0.718,0.461,4,-7.676,0,0.0797,0.068,0.0,0.283,0.181,129.953,4,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
24,1Lo0QY9cvc8sUB2vnIOxDT,90,False,265493,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,4,"['contemporary country', 'country']"
25,1NvpO1o8SpkdH3txtJQQc7,69,True,243486,0.611,0.584,11,-6.897,0,0.0301,0.083,0.0,0.432,0.181,116.106,4,"['dfw rap', 'melodic rap', 'pop', 'rap']"
26,1UC4lp9d11wTkShH9pj25B,3,True,203229,0.741,0.929,4,-4.221,0,0.133,0.0436,0.0104,0.09,0.413,156.039,4,['electronic trap']
27,1r9xUipOqoNwggBpENDsvJ,81,False,173381,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,4,"['modern rock', 'pop', 'rock']"
28,1xwAWUI6Dj0WGC3KiUPN0O,82,True,164801,0.798,0.277,4,-11.096,0,0.39,0.173,5.25e-05,0.121,0.163,79.846,4,['pop']
29,3DMs7bahbQTnoxCjgP7qoK,62,True,184800,0.675,0.608,3,-6.934,0,0.103,0.336,0.0,0.11,0.728,99.865,4,"['brooklyn drill', 'rap']"
30,3d8y0t70g7hw2FOWl9Z4Fm,80,False,160097,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4,"['folk-pop', 'modern rock', 'stomp and holler']"
31,5902W4uHWzhtOff1UK7the,77,False,161266,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034,4,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
32,5mHdCZtVyb4DcJw8799hZp,86,True,272373,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,4,"['uk contemporary r&b', 'uk pop']"
33,5uWEE2Djt91KtvLPW6m70I,17,False,199976,0.768,0.825,8,-2.777,0,0.301,0.158,0.00176,0.0926,0.954,159.972,4,"['bass house', 'electro house', 'tech house']"
34,6w8ZPYdnGajyfPddTWdthN,74,False,210384,0.703,0.68,9,-6.118,0,0.0431,0.0171,0.0,0.178,0.536,97.985,4,"['british soul', 'pop', 'pop soul', 'uk pop']"
35,1BxfuPKGuaTgP7aM0Bbdwr,100,False,178426,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4,['pop']
36,1hGy2eLcmC8eKx7qr1tOqx,81,False,225373,0.762,0.661,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009,4,"['dance pop', 'miami hip hop', 'pop']"
37,1rXq0uoV4KTgRN64jXzIxo,79,False,206864,0.613,0.914,7,-5.153,1,0.03,0.00522,2.21e-06,0.26,0.916,141.978,4,['contemporary country']
38,2b7FqlHc3JrzlYtGEkzq22,62,True,301466,0.873,0.816,9,-4.645,1,0.256,0.483,0.0,0.146,0.79,96.067,4,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
39,3hUxzQpSfdDqwM3ZTFQY0K,92,False,261922,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,4,['pop']
40,4NmNw3RnHtp6t6M0DjP1v3,56,True,197142,0.451,0.656,1,-6.303,1,0.0682,0.00513,2.08e-06,0.293,0.392,140.086,4,"['aussietronica', 'brostep', 'edm', 'electro house', 'electronic trap', 'escape room', 'vapor twitch']"
41,4b93D55xv3YCH5mT4p6HPn,74,False,206320,0.67,0.776,8,-4.091,0,0.047,0.00388,0.000184,0.122,0.624,115.034,4,"['edm', 'house', 'pop dance', 'progressive house', 'uk dance']"
42,4lIxdJw6W3Fg4vUIYCB0S5,83,False,231000,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,4,['pop']
43,4pmc2AxSEq6g7hPVlJCPyP,73,False,230200,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,4,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']"
44,5d2sGAcNwi1AhYM9XqjnGt,36,False,214916,0.637,0.967,6,-3.616,1,0.0547,0.00599,6.37e-05,0.502,0.796,145.014,4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']"
