,id
0,7K3BhSpAxZBznislvUMVtn
1,5W4kiM2cUYBJXKRudNyxjW
2,3cBsEDNhFI9E82vPj3kvi3
3,0PAcdVzhPO4gq1Iym9ESnK
4,6foY66mWZN0pSRjZ408c00
5,5MwynWK9s4hlyKHqhkNn4A
6,7fveJ3pk1eSfxBdVkzdXZ0
7,3Qu3Zh4WTKhP9GEXo0aDnb
8,2YVlDlk2zRceefo6XlC6DX
9,1rXq0uoV4KTgRN64jXzIxo
10,74fmYjFwt9CqEFAh8ybeBD
11,1q0PYXTbDsirp2l74ng6pn
12,66hayvUbTotekKU3H4ta1f
13,6tifCCTIVBLC2TmTquYG7G
14,1ncGbGufa7aUaJ5zC4YP3y
15,6dVgCHMZrWG0tQ4HPeu4aw
16,4wteGC0HtLeZWjDcczc4Pw
17,0OCFIEsSrmKueOiPK6S3xq
18,6VRhkROS2SZHGlp0pxndbJ
19,65ES1qwOB577ZnTkizMXJJ
20,2YSzYUF3jWqb9YP9VXmpjE
21,7aqfrAY2p9BUSiupwk3svU
22,0AYt6NMyyLd0rLuvr0UkMH
23,67nepsnrcZkowTxMWigSbb
24,3eP13S8D5m2cweMEg3ZDed
25,3F5CgOj3wFlRv51JsHbxhe
26,6ZprqcYFC6D9eIZaCoqrSn
27,1zi7xx7UVEFkmKfv06H8x0
28,1yeB8MUNeLo9Ek1UEpsyz6
29,1bDbXMyjaUIooNwFE9wn0N
30,7DSAEUvxU8FajXtRloy8M0
31,1daDRI9ahBonbWD8YcxOIB
32,41WQUSINanQHfhfKpFDsms
33,5Q0Nhxo0l2bP3pNjpGJwV1
34,2vwlzO0Qp8kfEtzTsCXfyE
35,02dRkCEc8Q5ch4TTcnLxOn
36,2y4lAQpi5VTNLu2ldeTdUH
37,2Oycxb8QbPkpHTo8ZrmG0B
38,0LbZLBBZI1NfaDgb4dx0UD
39,0V8FYVlBFuXXTIvRnMbZyS
40,0RiRZpuVRbi7oqRdSMwhQY
41,5w40ZYhbBMAlHYNDaVJIUu
42,21jGcNKet2qwijlDFuPiPb
43,0O6u0VJ46W86TxN9wgyqDj
44,22VHOlVYBqytsrAqV8yXBK
45,0e7ipj03S05BNilyu5bRzt
46,7xQAfvXzm3AkraOtGPWIZg
47,3a1lNhkSLSkpJE4MSHpDu9
48,7dt6x5M1jzdTEt8oCbisTK
